Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
,06/04/2025 00:00,21677.75,21696.25,21676.0,21678.0,0.0,0.0,0,N/A
,06/04/2025 01:00,21678.0,21695.5,21673.5,21695.0,17.0,0.08,1937,N/A
,06/04/2025 02:00,21695.25,21715.25,21680.25,21691.0,-4.0,-0.02,4539,N/A
,06/04/2025 03:00,21691.75,21722.25,21674.5,21720.75,29.75,0.14,5042,N/A
,06/04/2025 04:00,21720.5,21748.75,21713.75,21718.0,-2.75,-0.01,7200,N/A
,06/04/2025 05:00,21718.0,21745.75,21717.5,21736.25,18.25,0.08,4761,N/A
,06/04/2025 06:00,21736.5,21763.0,21719.75,21750.25,14.0,0.06,6184,N/A
,06/04/2025 07:00,21749.25,21756.0,21727.25,21747.0,-3.25,-0.01,5043,N/A
,06/04/2025 08:00,21748.0,21767.0,21655.5,21708.5,-38.5,-0.18,21284,N/A
,06/04/2025 09:00,21709.5,21790.5,21699.5,21754.0,45.5,0.21,51589,N/A
,06/04/2025 10:00,21746.0,21764.25,21641.0,21761.0,7.0,0.03,73463,N/A
,06/04/2025 11:00,21761.25,21784.5,21731.75,21754.25,-6.75,-0.03,43105,N/A
,06/04/2025 12:00,21753.75,21758.0,21707.25,21754.25,0.0,0.0,35025,N/A
,06/04/2025 13:00,21754.25,21787.0,21752.75,21786.0,31.75,0.15,26771,N/A
,06/04/2025 14:00,21785.75,21803.0,21771.75,21782.75,-3.25,-0.01,30587,N/A
,06/04/2025 15:00,21783.0,21798.25,21748.25,21757.5,-25.25,-0.12,43425,N/A
,06/04/2025 16:00,21757.5,21764.75,21740.25,21748.0,-9.5,-0.04,14541,N/A
,06/04/2025 18:00,21744.75,21772.5,21731.75,21750.75,2.75,0.01,0,N/A
,06/04/2025 19:00,21751.0,21759.0,21737.0,21741.0,-9.75,-0.04,2438,N/A
,06/04/2025 20:00,21742.0,21766.75,21738.25,21744.5,3.5,0.02,3092,N/A
,06/04/2025 21:00,21746.0,21757.25,21730.75,21756.75,12.25,0.06,3237,N/A
,06/04/2025 22:00,21757.0,21758.75,21736.75,21745.25,-11.5,-0.05,3492,N/A
,06/04/2025 23:00,21745.75,21754.5,21741.75,21749.75,4.5,0.02,2527,N/A
,06/05/2025 00:00,21747.5,21759.25,21745.25,21748.5,-1.25,-0.01,2466,N/A
,06/05/2025 01:00,21748.5,21749.0,21724.75,21734.25,-14.25,-0.07,3074,N/A
,06/05/2025 02:00,21734.0,21744.25,21723.0,21737.25,3.0,0.01,3249,N/A
,06/05/2025 03:00,21741.0,21840.0,21741.0,21812.5,75.25,0.35,11638,N/A
,06/05/2025 04:00,21813.0,21842.5,21773.5,21790.0,-22.5,-0.1,8135,N/A
,06/05/2025 05:00,21790.5,21791.5,21764.0,21775.75,-14.25,-0.07,5288,N/A
,06/05/2025 06:00,21775.75,21804.75,21753.75,21777.0,1.25,0.01,5728,N/A
,06/05/2025 07:00,21776.5,21780.0,21745.75,21769.75,-7.25,-0.03,6378,N/A
,06/05/2025 08:00,21767.25,21898.0,21712.5,21826.25,56.5,0.26,22076,N/A
,06/05/2025 09:00,21802.5,21840.5,21691.5,21723.5,-102.75,-0.47,71360,N/A
,06/05/2025 10:00,21724.75,21878.75,21704.0,21858.25,134.75,0.62,88677,N/A
,06/05/2025 11:00,21858.25,21935.0,21844.5,21920.0,61.75,0.28,50002,N/A
,06/05/2025 12:00,21920.25,21923.0,21670.25,21687.25,-232.75,-1.06,73911,N/A
,06/05/2025 13:00,21687.0,21789.75,21659.5,21729.0,41.75,0.19,44275,N/A
,06/05/2025 14:00,21730.0,21740.0,21606.5,21686.75,-42.25,-0.19,58996,N/A
,06/05/2025 15:00,21686.5,21698.0,21503.5,21587.0,-99.75,-0.46,90318,N/A
,06/05/2025 16:00,21587.25,21619.25,21510.75,21515.0,-72.0,-0.33,18338,N/A
,06/05/2025 18:00,21471.0,21560.5,21471.0,21558.0,43.0,0.2,0,N/A
,06/05/2025 19:00,21558.5,21571.25,21540.0,21545.5,-12.5,-0.06,5322,N/A
,06/05/2025 20:00,21545.25,21588.25,21544.0,21571.75,26.25,0.12,5817,N/A
,06/05/2025 21:00,21571.25,21600.5,21563.0,21585.0,13.25,0.06,4739,N/A
,06/05/2025 22:00,21584.5,21591.0,21572.5,21588.25,3.25,0.02,2824,N/A
,06/05/2025 23:00,21589.0,21617.75,21579.75,21610.5,22.25,0.1,3864,N/A
,06/06/2025 00:00,21606.75,21651.0,21602.25,21649.5,39.0,0.18,4904,N/A
,06/06/2025 01:00,21649.0,21669.75,21647.75,21656.75,7.25,0.03,4346,N/A
,06/06/2025 02:00,21657.75,21686.0,21629.5,21667.25,10.5,0.05,6755,N/A
,06/06/2025 03:00,21667.75,21681.0,21647.75,21660.25,-7.0,-0.03,5974,N/A
,06/06/2025 04:00,21660.75,21672.0,21637.75,21661.0,0.75,0.0,5539,N/A
,06/06/2025 05:00,21661.75,21690.5,21651.25,21685.25,24.25,0.11,4718,N/A
,06/06/2025 06:00,21685.75,21694.5,21655.5,21656.75,-28.5,-0.13,4510,N/A
,06/06/2025 07:00,21657.25,21684.5,21642.75,21670.75,14.0,0.06,7793,N/A
,06/06/2025 08:00,21670.75,21785.5,21662.25,21761.25,90.5,0.42,23845,N/A
,06/06/2025 09:00,21761.0,21864.25,21746.75,21840.25,79.0,0.36,69480,N/A
,06/06/2025 10:00,21840.25,21852.25,21762.75,21820.0,-20.25,-0.09,60117,N/A
,06/06/2025 11:00,21819.75,21870.0,21736.5,21806.0,-14.0,-0.06,60079,N/A
,06/06/2025 12:00,21806.5,21834.5,21722.0,21755.25,-50.75,-0.23,37321,N/A
,06/06/2025 13:00,21755.25,21826.75,21737.0,21821.5,66.25,0.3,31827,N/A
,06/06/2025 14:00,21822.25,21873.5,21821.5,21835.0,13.5,0.06,42398,N/A
,06/06/2025 15:00,21834.5,21847.5,21784.75,21789.0,-46.0,-0.21,49424,N/A
,06/06/2025 16:00,21789.5,21819.0,21780.25,21809.5,20.5,0.09,13507,N/A
,06/08/2025 18:00,21799.25,21820.75,21730.25,21741.5,-68.0,-0.31,5549,N/A
,06/08/2025 19:00,21742.0,21773.0,21726.0,21762.0,20.5,0.09,4614,N/A
,06/08/2025 20:00,21763.5,21783.5,21745.0,21749.0,-13.0,-0.06,5158,N/A
,06/08/2025 21:00,21749.0,21751.75,21731.5,21742.0,-7.0,-0.03,3021,N/A
,06/08/2025 22:00,21742.25,21756.0,21716.0,21741.25,-0.75,-0.0,3847,N/A
,06/08/2025 23:00,21741.0,21746.75,21726.0,21744.75,3.5,0.02,1941,N/A
,06/09/2025 00:00,21744.0,21752.5,21731.25,21747.0,2.25,0.01,2386,N/A
,06/09/2025 01:00,21746.0,21748.75,21729.0,21746.25,-0.75,-0.0,2536,N/A
,06/09/2025 02:00,21746.75,21768.0,21732.0,21766.25,20.0,0.09,3436,N/A
,06/09/2025 03:00,21766.75,21797.25,21750.0,21794.5,28.25,0.13,5741,N/A
,06/09/2025 04:00,21793.25,21800.0,21757.5,21792.25,-2.25,-0.01,6744,N/A
,06/09/2025 05:00,21792.25,21794.0,21773.25,21779.75,-12.5,-0.06,2918,N/A
,06/09/2025 06:00,21779.5,21791.0,21763.25,21775.25,-4.5,-0.02,3259,N/A
,06/09/2025 07:00,21774.5,21824.25,21774.0,21810.75,35.5,0.16,8187,N/A
,06/09/2025 08:00,21812.0,21818.0,21791.0,21797.0,-13.75,-0.06,7265,N/A
,06/09/2025 09:00,21797.5,21817.75,21750.75,21787.0,-10.0,-0.05,49638,N/A
,06/09/2025 10:00,21787.0,21880.5,21787.0,21842.5,55.5,0.25,55719,N/A
,06/09/2025 11:00,21842.5,21867.25,21816.5,21838.5,-4.0,-0.02,34311,N/A
,06/09/2025 12:00,21839.25,21885.0,21815.5,21870.25,31.75,0.15,28725,N/A
,06/09/2025 13:00,21870.25,21881.75,21834.25,21867.25,-3.0,-0.01,30127,N/A
,06/09/2025 14:00,21867.5,21879.25,21845.25,21869.25,2.0,0.01,23641,N/A
,06/09/2025 15:00,21869.75,21875.25,21814.0,21818.5,-50.75,-0.23,49317,N/A
,06/09/2025 16:00,21818.25,21825.0,21797.0,21822.25,3.75,0.02,13532,N/A
,06/09/2025 18:00,21824.0,21847.75,21823.25,21825.5,3.25,0.01,2476,N/A
,06/09/2025 19:00,21829.75,21838.25,21821.5,21832.5,7.0,0.03,1794,N/A
,06/09/2025 20:00,21833.0,21850.0,21815.25,21847.75,15.25,0.07,2670,N/A
